Logger, d_artagnan_s:         	Automatically truncated logfile to 1048576
Session, d_artagnan_s:        	Garbage collected 0 outgoing messages in DC 1, 1 left
ReadLoop, d_artagnan_s:       	danog\MadelineProto\NothingInTheSocketException in /var/www/html/telegram_app_service/vendor/danog/madelineproto/src/danog/MadelineProto/Stream/Common/BufferedRawStream.php:180
Stack trace:
#0 [internal function]: danog\MadelineProto\Stream\Common\BufferedRawStream->bufferReadGenerator(1)
#1 /var/www/html/telegram_app_service/vendor/danog/madelineproto/src/danog/MadelineProto/Coroutine.php(112): Generator->send(NULL)
#2 /var/www/html/telegram_app_service/vendor/amphp/amp/lib/Internal/Placeholder.php(149): danog\MadelineProto\Coroutine->danog\MadelineProto\{closure}(NULL, NULL)
#3 /var/www/html/telegram_app_service/vendor/amphp/amp/lib/Deferred.php(53): Amp\Promise@anonymous->resolve(NULL)
#4 /var/www/html/telegram_app_service/vendor/amphp/byte-stream/lib/ResourceInputStream.php(101): Amp\Deferred->resolve(NULL)
#5 /var/www/html/telegram_app_service/vendor/amphp/amp/lib/Loop/NativeDriver.php(327): Amp\ByteStream\ResourceInputStream::Amp\ByteStream\{closure}('ebrdz', Resource id #160875, NULL)
#6 /var/www/html/telegram_app_service/vendor/amphp/amp/lib/Loop/NativeDriver.php(127): Amp\Loop\NativeDriver->selectStreams(Array, Array, 0.966)
#7 /var/www/html/telegram_app_service/vendor/amphp/amp/lib/Loop/Driver.php(138): Amp\Loop\NativeDriver->dispatch(true)
#8 /var/www/html/telegram_app_service/vendor/amphp/amp/lib/Loop/Driver.php(72): Amp\Loop\Driver->tick()
#9 /var/www/html/telegram_app_service/vendor/amphp/amp/lib/Loop.php(95): Amp\Loop\Driver->run()
#10 /var/www/html/telegram_app_service/vendor/danog/madelineproto/src/danog/MadelineProto/Tools.php(294): Amp\Loop::run(Object(Closure))
#11 /var/www/html/telegram_app_service/vendor/danog/madelineproto/src/danog/MadelineProto/Ipc/Runner/entry.php(110): danog\MadelineProto\Tools::wait(Object(Amp\Internal\PrivatePromise))
#12 /var/www/html/telegram_app_service/vendor/danog/madelineproto/src/danog/MadelineProto/Ipc/Runner/entry.php(134): {closure}()
#13 {main}
ReadLoop, d_artagnan_s:       	Got nothing in the socket in DC 5.0, reconnecting...
Connection, d_artagnan_s:     	Reconnecting DC 5.0
Connection, d_artagnan_s:     	Disconnecting from DC 5.0
Connection, d_artagnan_s:     	Disconnected from DC 5.0
DataCenter, d_artagnan_s:     	Reconnecting to DC 5 (0) from existing
DataCenterConnection, d_artagnan_s: 	Trying shared connection via tcp://91.108.56.182:443 main DC 5, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (0)
Connection, d_artagnan_s:     	Connecting to DC 5.0
Connection, d_artagnan_s:     	Connected to DC 5.0!
DataCenter, d_artagnan_s:     	OK!
ReadLoop, d_artagnan_s:       	danog\MadelineProto\NothingInTheSocketException in /var/www/html/telegram_app_service/vendor/danog/madelineproto/src/danog/MadelineProto/Stream/Common/BufferedRawStream.php:180
Stack trace:
#0 [internal function]: danog\MadelineProto\Stream\Common\BufferedRawStream->bufferReadGenerator(1)
#1 /var/www/html/telegram_app_service/vendor/danog/madelineproto/src/danog/MadelineProto/Coroutine.php(112): Generator->send(NULL)
#2 /var/www/html/telegram_app_service/vendor/amphp/amp/lib/Internal/Placeholder.php(149): danog\MadelineProto\Coroutine->danog\MadelineProto\{closure}(NULL, NULL)
#3 /var/www/html/telegram_app_service/vendor/amphp/amp/lib/Deferred.php(53): Amp\Promise@anonymous->resolve(NULL)
#4 /var/www/html/telegram_app_service/vendor/amphp/byte-stream/lib/ResourceInputStream.php(101): Amp\Deferred->resolve(NULL)
#5 /var/www/html/telegram_app_service/vendor/amphp/amp/lib/Loop/NativeDriver.php(327): Amp\ByteStream\ResourceInputStream::Amp\ByteStream\{closure}('ehnkd', Resource id #163297, NULL)
#6 /var/www/html/telegram_app_service/vendor/amphp/amp/lib/Loop/NativeDriver.php(127): Amp\Loop\NativeDriver->selectStreams(Array, Array, 0.442)
#7 /var/www/html/telegram_app_service/vendor/amphp/amp/lib/Loop/Driver.php(138): Amp\Loop\NativeDriver->dispatch(true)
#8 /var/www/html/telegram_app_service/vendor/amphp/amp/lib/Loop/Driver.php(72): Amp\Loop\Driver->tick()
#9 /var/www/html/telegram_app_service/vendor/amphp/amp/lib/Loop.php(95): Amp\Loop\Driver->run()
#10 /var/www/html/telegram_app_service/vendor/danog/madelineproto/src/danog/MadelineProto/Tools.php(294): Amp\Loop::run(Object(Closure))
#11 /var/www/html/telegram_app_service/vendor/danog/madelineproto/src/danog/MadelineProto/Ipc/Runner/entry.php(110): danog\MadelineProto\Tools::wait(Object(Amp\Internal\PrivatePromise))
#12 /var/www/html/telegram_app_service/vendor/danog/madelineproto/src/danog/MadelineProto/Ipc/Runner/entry.php(134): {closure}()
#13 {main}
ReadLoop, d_artagnan_s:       	Got nothing in the socket in DC 5.0, reconnecting...
Connection, d_artagnan_s:     	Reconnecting DC 5.0
Connection, d_artagnan_s:     	Disconnecting from DC 5.0
Connection, d_artagnan_s:     	Disconnected from DC 5.0
DataCenter, d_artagnan_s:     	Reconnecting to DC 5 (0) from existing
